,Accuracy 0,Accuracy 1,Accuracy 2,Accuracy 3,Accuracy 4,Accuracy 5,Accuracy 6,Accuracy 7,Accuracy 8,Accuracy STD. 0,Accuracy STD. 1,Accuracy STD. 2,Accuracy STD. 3,Accuracy STD. 4,Accuracy STD. 5,Accuracy STD. 6,Accuracy STD. 7,Accuracy STD. 8,Dataset,F1-score 0,F1-score 1,F1-score 2,F1-score 3,F1-score 4,F1-score 5,F1-score 6,F1-score 7,F1-score 8,F1-score STD. 0,F1-score STD. 1,F1-score STD. 2,F1-score STD. 3,F1-score STD. 4,F1-score STD. 5,F1-score STD. 6,F1-score STD. 7,F1-score STD. 8,Network Initialization,Precision 0,Precision 1,Precision 2,Precision 3,Precision 4,Precision 5,Precision 6,Precision 7,Precision 8,Precision STD. 0,Precision STD. 1,Precision STD. 2,Precision STD. 3,Precision STD. 4,Precision STD. 5,Precision STD. 6,Precision STD. 7,Precision STD. 8,Recall 0,Recall 1,Recall 2,Recall 3,Recall 4,Recall 5,Recall 6,Recall 7,Recall 8,Recall STD. 0,Recall STD. 1,Recall STD. 2,Recall STD. 3,Recall STD. 4,Recall STD. 5,Recall STD. 6,Recall STD. 7,Recall STD. 8,Training Method,Uncertainty Sampling,Method
0,0.3425595443532624,0.4005328596802842,0.45110519044799685,0.493289915137162,0.5356226564041839,0.548796131833432,0.5677422537990923,0.5867377146240379,0.5912768896783106,0.03618547444381098,0.029753091277085697,0.04042448694655304,0.011560464292342587,0.027921784195747867,0.01643532132327996,0.022048840116225876,0.015909467997067384,0.011260507016933818,Skin Lesions,0.1804218558171829,0.23384803640382776,0.26854936663226464,0.32073174837966306,0.36429964313888513,0.37671178248213033,0.396413942139959,0.42093681569772473,0.4314224723539079,0.005441398552687743,0.014890488903443466,0.03221061087009214,0.017512612408654704,0.022748418816845584,0.01884318280925351,0.02263505434926677,0.031482556103837545,0.024219390682825026,Random,0.22682486668483,0.25166925843480314,0.2754441143149904,0.3087729738195799,0.34616302373351826,0.3534494943830477,0.37217798823728704,0.39440082741264343,0.40451411048561375,0.008947399017975949,0.01661846273684303,0.023144224742789876,0.011870305128007408,0.020024226799723932,0.015918152628241033,0.019815903081254305,0.02819007048574057,0.022691601201790645,0.22245810734100224,0.31038703170429427,0.35318024581324475,0.40262380528481223,0.42850507631604834,0.45468766366407604,0.4758796864929932,0.49496283689155496,0.4989887967599388,0.010199839416430934,0.01939511658293297,0.03287722312231384,0.011055732485955816,0.022414012451788146,0.01974123990936666,0.01740813092666854,0.024261082816459723,0.01901031343966636,Supervised,Random,random_sampling
1,0.3425595443532624,0.40852575488454707,0.46245312808367867,0.507400828892836,0.5293566212749161,0.5504243141898559,0.564288533649102,0.5885139135583186,0.5963587921847247,0.03618547444381098,0.04769820027079913,0.050498388762015345,0.02970674648739391,0.022207255589410946,0.014982774544490707,0.020892836933477987,0.010402896946077322,0.021005320386174198,Skin Lesions,0.1804218558171829,0.2391004217560075,0.2823512336634476,0.3175388477345541,0.3713476717128137,0.3862867401217016,0.41035351636620165,0.43646962434405745,0.44855575045388,0.005441398552687743,0.03555364640243208,0.03464710646476643,0.03490969079329043,0.017418582959529083,0.015274513592520134,0.021565457860413473,0.015036526996128396,0.02504464191773842,Random,0.22682486668483,0.2499367545814326,0.29338038234043506,0.31424081680091526,0.35660040021313455,0.36031143483415407,0.38511458955841954,0.408816571075173,0.4223571644807541,0.008947399017975949,0.02498373829595224,0.024779516240899246,0.02344440627127309,0.013459622743850652,0.012761473457038597,0.018039318519179837,0.012102885298229615,0.021167514753125782,0.22245810734100224,0.30802725545409215,0.35726190528169555,0.4064574662961141,0.4371898726113122,0.46535168819810624,0.48880295448510824,0.5049816598808088,0.5218556048822909,0.010199839416430934,0.03618098731462094,0.026110075560079993,0.02915611771001153,0.01843624620974177,0.014031848703009164,0.017683529777680285,0.018056931222601935,0.018859036773735682,Supervised,MC dropout,mc_dropout
2,0.34255954435326247,0.3910617852981585,0.4159517572698912,0.48687586343003747,0.5067100848628379,0.5496348924412868,0.5825932504440497,0.6104203670811131,0.6219163212946517,0.03618547444381098,0.012822094079515012,0.03448161343240397,0.028417469742014922,0.02858402432088908,0.01102985621063246,0.021229703344687212,0.031180285384621254,0.026892303552980223,Skin Lesions,0.1804218558171829,0.22353412595817285,0.26292959881761635,0.3261351445307113,0.35466765419218976,0.39808673851056653,0.4401221657979174,0.47004408863462865,0.484287943021302,0.005441398552687743,0.023800824013510774,0.028681688220549284,0.01646528077709747,0.027336303161970277,0.016542596289738254,0.043815146373878844,0.04039064139834031,0.031898991565184776,Random,0.22682486668483,0.24328261829481715,0.2711240308344758,0.32193006140718083,0.3354664130271265,0.3695791395924481,0.40853744355401894,0.4415147451232064,0.45448592696417955,0.008947399017975949,0.011022543124862838,0.018403239255668447,0.01391718537651837,0.02080977498890757,0.014170146773823833,0.040891885779303916,0.04037220084321891,0.03258149351866041,0.22245810734100224,0.29767922094144655,0.35154806624939633,0.40932520667058964,0.4556250318013179,0.4872862551366977,0.5179701853613239,0.5318677715977685,0.5467937271411576,0.010199839416430934,0.01616436042964503,0.028908961700200242,0.01873790998386421,0.031151971620401675,0.02500398375269164,0.03394143075549172,0.02910050927886032,0.022416257773720805,Supervised,Entropy Based,entropy_based
3,0.3425595443532624,0.37810885219785645,0.4460978002933764,0.5028123149792777,0.5320702585356227,0.5510163805012828,0.5772646536412078,0.6049930925597,0.6151075587132426,0.03618547444381098,0.031998888975707185,0.06060192813931736,0.015396491252355149,0.012037872804748107,0.017476824079992515,0.026976762966285817,0.013128587441638029,0.007889744884555405,Skin Lesions,0.1804218558171829,0.21339632460349767,0.2865085820643674,0.33319043339602616,0.3760911772895429,0.39848840274083064,0.43365595901285886,0.4609154901299941,0.4739712743579526,0.005441398552687743,0.027135447234408444,0.04833286452139618,0.02293863340473662,0.022976638884346257,0.017924439646559487,0.028726101821305083,0.013826006063591523,0.007021159529548127,Random,0.22682486668483,0.26686646929271307,0.3052176339872597,0.33625983879194155,0.3614176532780996,0.3728297190187515,0.4065859952397112,0.43216241940730127,0.44409579889076056,0.008947399017975949,0.046758611850456544,0.0419528895011162,0.009081318184904652,0.018367814778828095,0.017754270819679785,0.02986713797433327,0.011649584740765273,0.0063586162759090015,0.22245810734100224,0.29889139760175054,0.3691589461257677,0.4190600829078126,0.4623030627353072,0.4819915676724678,0.5043673504386774,0.5281117120858123,0.5403501694066257,0.010199839416430934,0.0389525429009544,0.03319182785074393,0.02706838464154704,0.01415359608731298,0.01582344363545396,0.01757839397175559,0.018504487708650652,0.006146318919176275,Supervised,Augmentations Based,augmentations_based
4,0.34255954435326247,0.40941385435168737,0.4529307282415631,0.49674363528715215,0.529011249259917,0.5513617525162818,0.5831359778961911,0.5925597000197356,0.6078054075389777,0.03618547444381098,0.025240865428616144,0.020510253414725066,0.019476292067526213,0.018449039184678884,0.013567648050755055,0.015615651532973174,0.01946604026816301,0.019697207190136012,Skin Lesions,0.1804218558171829,0.24068884430168136,0.2968478568549583,0.3383331554614256,0.37215870927487993,0.3980821004799587,0.43006629167055244,0.4435031537631596,0.46276616914596974,0.005441398552687743,0.01678730339260323,0.014632049172257022,0.03101264001521553,0.02510582986746651,0.022884790428483348,0.01931654088045809,0.02279624180053591,0.027317317891768222,Random,0.22682486668483,0.25300809589438933,0.2927549563524206,0.32864093025316926,0.35306393866349295,0.37724658116886,0.4053365537481999,0.4156728049803256,0.43378321662076885,0.008947399017975949,0.011786994507872822,0.007323342743626726,0.028525428333425418,0.025950157015422748,0.019409515804261757,0.02116819226080191,0.022931311122051823,0.02932999432256128,0.22245810734100224,0.3052869390267634,0.3746741887685008,0.41756783518475055,0.44301699267014594,0.4710123723091021,0.49109731295057635,0.5073717481016687,0.526911065695036,0.010199839416430934,0.022277515148634353,0.01765928848133491,0.01957763880468466,0.020502230063745353,0.020466466086199675,0.01041965628071323,0.012364501492758528,0.0152302289170414,Supervised,Least Confidence,least_confidence
5,0.34255954435326247,0.4038232115730937,0.44059601342016974,0.5012828103414249,0.5194395105585158,0.555752910992698,0.5755377935662127,0.617377146240379,0.617377146240379,0.03618547444381098,0.06011077085273492,0.04539829283303376,0.008054181538350857,0.018767972878268258,0.016323931412778436,0.01775561526311209,0.011305706507349855,0.011305706507349855,Skin Lesions,0.1804218558171829,0.23391682715038908,0.27856915859914055,0.33274524820910373,0.3554025757158694,0.3940069250922088,0.42141127249645965,0.44867580174995947,0.44975191424476174,0.005441398552687743,0.03861554112839566,0.04412573291753541,0.014231996370495992,0.02582872196780872,0.009335057282453929,0.012618479877332556,0.019029666097351905,0.018882479281423836,Random,0.22682486668483,0.25039377829657194,0.2814611384906268,0.32100541992967013,0.34064409857340144,0.37414339896392085,0.3934923587570125,0.42184570213288514,0.4220876771683624,0.008947399017975949,0.021576016284732963,0.029771369331640152,0.009883697439012018,0.019311258922739938,0.009106400418130156,0.010675409718619244,0.022199982747951874,0.02212800129065018,0.22245810734100224,0.30409649063118105,0.35605854161734757,0.4126709748256191,0.4475165094677992,0.4756060091526485,0.4958116589838941,0.5177486566890421,0.5247316919030108,0.010199839416430934,0.026054583756814576,0.03208529743555549,0.008717883632674783,0.014867427953868806,0.0092391614599866,0.01046921170367876,0.009960445568028442,0.009990561115873153,Supervised,Margin Confidence,margin_confidence
6,0.3425595443532624,0.387081141549392,0.4371995192307692,0.5033052884615384,0.5352564102564102,0.5452724358974359,0.5618990384615384,0.5872395833333334,0.6091245993589745,0.03618547444381098,0.013091341228326447,0.018659132644403942,0.03705943022324559,0.014841979179988307,0.013332981804722532,0.016023762910781114,0.026548514671664303,0.019732015382040835,Skin Lesions,0.18042185581718284,0.22745758092378074,0.27126051714475985,0.33765962739603783,0.37677013484858246,0.4083399432720652,0.4197412525101422,0.45759839668307223,0.48399807490810687,0.005441398552687743,0.013284614600785533,0.021812138942543274,0.034164806704806316,0.01133507720517446,0.017474309211870098,0.018081295838797584,0.02131123206627017,0.012590329936424394,Random,0.22682486668483,0.2768230962930111,0.29870283984117696,0.3465523527133856,0.35811726999124466,0.37906467912842146,0.393431721397094,0.42169867034080727,0.44836995454113776,0.008947399017975949,0.04191672527550097,0.03458252118910077,0.0018847760088865906,0.009410189996749918,0.016129191775747342,0.01958592031371781,0.02383380913291594,0.014556361828936049,0.22245810734100224,0.29939203338403714,0.35533200823478756,0.4170575027772281,0.46657769299899715,0.4943412499624553,0.5136912964494412,0.5398218845997156,0.5556503450482353,0.010199839416430934,0.01786496789025699,0.017835731707049274,0.017603937305035677,0.02100318706322507,0.011038477132651825,0.010369624237549169,0.006673952261965765,0.006628621340330043,Supervised,Learning Loss,learning_loss
7,0.3425595443532624,0.4009527440470769,0.44893428063943164,0.49901322281428845,0.5194395105585159,0.5351292678113282,0.5630057233076772,0.5744523386619301,0.588809946714032,0.03618547444381098,0.04129772039949314,0.0163283300379492,0.00966286160273111,0.032023618375410956,0.026443603397090842,0.010321495967495875,0.02025244485467248,0.026546140390612316,Skin Lesions,0.1804218558171829,0.22837851053378072,0.2755967396544087,0.323271070373536,0.34096177696936236,0.36310668284127223,0.4041700169402263,0.41925324128621505,0.4396285513202475,0.005441398552687743,0.03255154927042819,0.02151712584045129,0.02209214872446763,0.025492998464878402,0.012527245492576444,0.012467240520177558,0.020916236928000542,0.023540964427185507,Random,0.22682486668483,0.24723596159258449,0.27846033103721657,0.31252352370676795,0.3288621352819875,0.34667175527436167,0.38275404184339656,0.3936101471327581,0.4141368000929973,0.008947399017975949,0.01411426512722061,0.012373810885655923,0.01483077381105291,0.020314117279132626,0.011562570212578116,0.008413659753613745,0.016191527610633027,0.022330196680523995,0.22245810734100224,0.3073999542606371,0.3613564430093843,0.40667425238354027,0.4263343852996823,0.4511827021108819,0.47513600420969576,0.4929240008052863,0.5043936724687297,0.010199839416430934,0.03426984293796731,0.02846608116403032,0.02591053244598729,0.023883484165234392,0.008241062135104393,0.010782232974476724,0.01010705873500678,0.009304632974852123,Supervised,Badge,badge
8,0.42120817460012483,0.49032958358002765,0.5522991908427077,0.5679889480955199,0.5837773830669035,0.5874284586540359,0.6159463193210972,0.6325241760410499,0.6525557529109927,0.027424989957381407,0.0036510755871324574,0.004835208209986175,0.001381488059996161,0.012038681665679896,0.015689757252812297,0.013025458851391392,0.02960331557134399,0.030491415038484293,Skin Lesions,0.20443756962718057,0.3050500725849923,0.34191719541438603,0.37227872276086205,0.42240939243667047,0.42240939243667047,0.44421076598016884,0.4711109200220366,0.49882156228545205,0.019127900382161445,0.015270455500261182,0.011883318300193513,0.0007540320096905972,0.003356839814010859,0.003356839814010859,0.00446085624963255,0.02243929779223519,0.0468697871102296,ImageNet,0.24167196901316113,0.29744457637862676,0.32991257709892385,0.3553320037381812,0.4003567653673159,0.4003567653673159,0.4179100729048683,0.44882376015995923,0.484529760733387,0.00627251406310636,0.018129517163650077,0.010371472104656831,0.0019406062130000734,0.0028004276652963123,0.0028004276652963123,0.0009355556187960468,0.029978131636294814,0.06237490250190253,0.24421846307109069,0.37213827555490353,0.4190565725969013,0.443060060073718,0.47786206076792404,0.4950526006998593,0.512086785187118,0.5230152753244088,0.5528448778054127,0.014402248366818027,0.014366262531713025,0.011576189939664028,0.00831599655150228,0.009555507325522017,0.00036465479785541266,0.010720833365114979,0.0002076567721758238,0.0020060546728311035,Supervised,Random,random_sampling_pretrained
9,0.42120817460012483,0.4652161042036709,0.5160351292678114,0.5323662916913361,0.5913755673968817,0.6056344977304124,0.6238898756660746,0.6553680678902704,0.656108150779554,0.027424989957381407,0.022310058899975005,0.028441231264189126,0.02866906158995064,0.023545959371242375,0.009794850951193479,0.011455437655549239,0.00852906063250125,0.007448043591124387,Skin Lesions,0.20443756962718057,0.2753651312054326,0.33944236859856614,0.36836393474671036,0.41626525358136657,0.450720886820661,0.47175313645184797,0.5133732161461724,0.5288516939641172,0.019127900382161445,0.03432527624939302,0.0287018816154756,0.015030428148619879,0.02280136857240994,0.01432040188686251,0.014198086572150992,0.02101378092666739,0.004882907408727766,ImageNet,0.24167196901316113,0.28096804734640796,0.33347145446142834,0.35419328941084477,0.3961771530608862,0.42363485228539294,0.44565056548691495,0.49267698503222185,0.5060778264096558,0.00627251406310636,0.03168454935665471,0.026885726214974315,0.018473707530789363,0.015345754843947013,0.012742624458785101,0.01725526976984143,0.026176088433708,0.01172016931062475,0.24421846307109069,0.3478459744853267,0.43220272695824136,0.47487292840295026,0.5005890259763816,0.5128119323280806,0.5281024204787049,0.5531386500740758,0.5752947581377275,0.014402248366818027,0.041409007892863614,0.012825296346786863,0.010570397214645366,0.007619786179183241,0.011378590133317434,0.008292539034708724,0.0063876392128283666,0.004275502374625706,Supervised,MC dropout,mc_dropout_pretrained
